id,num,name,address,latitude,longitude,stands,maxstands
137,68,068_CALLE JUAN ANTONIO CABESTANY,CALLE JUAN ANTONIO CABESTANY - Aprox. Calle Júpiter,37.3902924878851,-5.97996416701868,15,15
138,254,254_ALHAMBRA,ALHAMBRA.- Esquina Carretera Bellasvistas,37.3294297713657,-5.968971229675,30,30
139,138,138_CALLE RAMÓN CARANDE,CALLE RAMÓN CARANDE - Aprox. C/ San Salvador,37.3743704247098,-5.97893415421584,20,20
140,260,260_REVOLTOSA,Aproximado Parque Amate,37.377023215492,-5.9470354861559,20,20
141,42,042_PLAZA CRONISTA,PLAZA CRONISTA - Aprox. C/ Divina Pastora,37.3987059174522,-5.9894600168161,15,15
142,199,199_MAR DE ALBORÁN,MAR DE ALBORÁN - Aprox. Corral de los Olmos,37.4178556017479,-5.96929614545535,20,20
143,113,113_PLAZA SAN MARTÍN DE PORRES,PLAZA SAN MARTÍN DE PORRES - Aprox. Avda Alvar Núñez,37.38077843919,-6.00917926405435,15,15
144,94,094_PLAZA DEL ZURRAQUE,PLAZA DEL ZURRAQUE - Aprox. C/ Doc. Jeronimo Pou,37.3833694498627,-6.00829426244025,18,18
145,152,152_CALLE SAMANIEGO,CALLE SAMANIEGO - Aprox. C/ Esperanza de la Trinidad,37.3957905118738,-5.97437315057576,20,20
146,109,109_AVENIDA SAN FRANCISCO JAVIER,AVENIDA SAN FRANCISCO JAVIER - Aprox. C/ Camilo José Cela,37.3798841360913,-5.97438277001159,15,15
147,98,098_AVENIDA DE ROMA,AVENIDA DE ROMA - Puerta de Jerez,37.382043350305,-5.99303016926149,30,30
148,3,003_PUERTA DE LA BARQUETA,PUERTA DE LA BARQUETA - Aprox. Puente de la Barqueta,37.40564154237,-5.99848824083126,40,40
149,19,019_PARLAMENTO,PARLAMENTO - Aprox. C/ Don Fadrique,37.4033275365855,-5.98903720634574,20,20
150,147,147_CARRETERA DE CARMONA,CARRETERA DE CARMONA - Aprox. C/ Maestro Solano,37.4007955315306,-5.97522815645509,15,15
